ID,Time,Item Name,Location,Coordinates,Parsed Time,time_diff
27833,12:00,Broad Beans,Il Mheg,"(x24,y36)",1900-01-01 12:00:00,68
27828,12:00,Mist Spinach,The Rak'tika Greatwood,"(x34,y21)",1900-01-01 12:00:00,68
33000,12:00,Rarefied Pine Resin,Yanxia,"(x19,y14)",1900-01-01 12:00:00,68
33001,12:00,Rarefied Pine Log,Yanxia,"(x19,y14)",1900-01-01 12:00:00,68
33009,12:00,Rarefied Urunday Log,The Peaks,"(x31,y7)",1900-01-01 12:00:00,68
12943,12:00,Dravanian Mistletoe,The Churning Mists,"(x24,y6)",1900-01-01 12:00:00,68
12899,12:00,Porcini,The Churning Mists,"(x24,y6)",1900-01-01 12:00:00,68
32995,12:00,Rarefied Dark Chestnut,The Dravanian Forelands,"(x16,y36)",1900-01-01 12:00:00,68
32996,12:00,Rarefied Dark Chestnut Resin,The Dravanian Forelands,"(x16,y36)",1900-01-01 12:00:00,68
27731,12:00,Raw Onyx,The Tempest,"(x16,y21)",1900-01-01 12:00:00,68
27729,12:00,Raw Triplite,Amh Araeng,"(x20,y29)",1900-01-01 12:00:00,68
19907,12:00,Ala Mhigan Salt Crystal,The Lochs,"(x21,y29)",1900-01-01 12:00:00,68
19970,12:00,Raw Star Spinel,The Ruby Sea,"(x15,y5)",1900-01-01 12:00:00,68
12538,12:00,Adamantite Ore,Azys Lla,"(x24,y6)",1900-01-01 12:00:00,68
